stimulus_id,stimulus,correct_response,block
114,gemicilar,f,2
121,kentliler,j,2
122,dişliyı,f,2
123,güneydan,f,2
127,kirletıyor,f,2
130,dertleşir,j,2
132,sözleşmış,f,2
141,dikilir,j,2
142,göçülüyor,j,2
144,şenlenıyor,f,2
152,inci,j,2
154,uçak,j,2
155,eser,j,2
162,sarı,j,2
176,pembe,j,2
177,güney,j,2
178,sayfa,j,2
180,araba,j,2
184,mayıs,j,2
185,temel,j,2
194,çeyrek,j,2
197,buğday,j,2
199,elbise,j,2
200,zeytin,j,2
205,nefret ,j,2
207,kültür,j,2
210,destek,j,2
213,devlet,j,2
218,lale,j,2
230,elma,j,2
238,tane,j,2
239,anne,j,2
248,davet,j,2
249,tatil,j,2
252,siyah,j,2
256,madde,j,2
260,merak,j,2
264,insan,j,2
265,makale,j,2
268,mercan,j,2
269,efsane,j,2
270,bahane,j,2
276,kardeş,j,2
277,gazete,j,2
279,hikaye,j,2
285,dakika,j,2
293,aşıç,f,2
296,uban,f,2
298,uyko,f,2
301,obık,f,2
302,öşek,f,2
306,mağa,f,2
309,üdel,f,2
316,faraç,f,2
320,sakça,f,2
321,çırna,f,2
324,şünle,f,2
333,yahat,f,2
335,gopuk,f,2
338,hatrak,f,2
340,çoflak,f,2
344,bartam,f,2
348,yağcır,f,2
357,yeryek,f,2
359,dera,f,2
368,mame,f,2
371,şüda,f,2
373,idna,f,2
381,alte,f,2
382,masem,f,2
383,labin,f,2
384,kanel,f,2
390,gaset,f,2
395,hapef,f,2
397,canit,f,2
398,mafke,f,2
404,kiyaf,f,2
407,barali,f,2
412,tapare,f,2
420,teşbuz,f,2
425,icarar,f,2
427,daketi,f,2
7,tanışacak,j,3
12,yazdıracak,j,3
13,yırtılir,f,3
16,açtırir,f,3
19,takıntıler,f,3
21,buluntular,j,3
25,kurguya,j,3
36,kalkışe,f,3
40,farklıler,f,3
49,oyuncudan,j,3
53,sırdaşı,j,3
61,yozlaşmiş,f,3
62,acıtecek,f,3
65,yaşlanır,j,3
74,içilecek,j,3
78,gerilıyor,f,3
84,bezdirdı,f,3
86,gülüştu,f,3
88,eğilmış,f,3
90,söndürür,j,3
99,düşüşten,j,3
102,iletimı,f,3
103,bilimden,j,3
105,dergiyı,f,3
108,sergiya,f,3
109,körlüğü,j,3
111,denkliği,j,3
116,pislikten,j,3
119,çöplükten,j,3
120,gizliya,f,3
128,eksiliyor,j,3
129,küstürdu,f,3
131,güçlenacak,f,3
133,netleşecek,j,3
135,iyileşir,j,3
136,güvenildı,f,3
148,otuz,j,3
149,öfke,j,3
151,avuç,j,3
153,ağız,j,3
158,kedi,j,3
160,ışık,j,3
163,ülke,j,3
169,dokuz,j,3
181,gönül,j,3
182,cümle,j,3
195,kurşun,j,3
196,yaprak,j,3
198,çıplak,j,3
202,bayram,j,3
203,toprak,j,3
204,zengin,j,3
208,hizmet,j,3
212,sosyal,j,3
217,bela,j,3
220,zeka,j,3
221,ebru,j,3
228,eşya,j,3
229,rüya,j,3
232,ilan,j,3
233,ateş,j,3
240,badem,j,3
243,mekan,j,3
245,sahne,j,3
246,kuzey,j,3
253,hafif,j,3
258,cevap,j,3
261,ifade,j,3
274,hamile,j,3
278,temmuz,j,3
283,işaret,j,3
288,uçok,f,3
290,oyoz,f,3
292,üyöm,f,3
295,acuz,f,3
299,afap,f,3
300,megi,f,3
313,bovon,f,3
314,senez,f,3
315,telen,f,3
317,çatuk,f,3
323,güzül,f,3
327,tesil,f,3
328,çapal,f,3
332,ahfam,f,3
336,pedrek,f,3
339,bufsay,f,3
347,cehret,f,3
354,soğkal,f,3
362,heka,f,3
367,laze,f,3
369,faer,f,3
370,elda,f,3
374,irar,f,3
377,leda,f,3
387,sayke,f,3
392,fiyan,f,3
394,sisaj,f,3
396,madit,f,3
400,resap,f,3
403,ihati,f,3
410,terhan,f,3
415,meşkup,f,3
416,yakele,f,3
419,çanese,f,3
426,tashin,f,3
428,dimdat,f,3
3,sorulecek,f,4
5,yarılmiş,f,4
8,yakıliyor,f,4
9,yatışır,j,4
10,şaşıracak,j,4
23,dolguyu,j,4
24,salgıler,f,4
29,kırıntılar,j,4
30,akıntıya,j,4
37,sağlıkten,f,4
39,varlıktan,j,4
43,solcular,j,4
48,akıllıler,f,4
51,yandaşe,f,4
52,yoldaşi,f,4
59,ağrıtacak,j,4
64,sonlanıyor,j,4
68,tokalaştı,j,4
69,boyaniyor,f,4
75,geçilecek,j,4
83,çözülecek,j,4
93,gezintiya,f,4
98,inişlar,f,4
101,çizimler,j,4
104,biçimdan,f,4
106,övgülar,f,4
107,örgüler,j,4
110,sütçülar,f,4
112,köylüyu,f,4
124,gözlüğa,f,4
125,yüzeyden,j,4
126,düzeyler,j,4
137,demlenmış,f,4
139,ekşitti,j,4
140,çiftleşır,f,4
145,ödev,j,4
147,iğne,j,4
159,ocak,j,4
161,umut,j,4
165,süre,j,4
166,kötü,j,4
168,evet,j,4
173,melek,j,4
174,şarap,j,4
186,hayal,j,4
187,şeker,j,4
190,akşam,j,4
191,hayat,j,4
206,yağmur,j,4
209,teknik,j,4
211,tercih,j,4
215,gerçek,j,4
223,şifa,j,4
226,kare,j,4
231,imza,j,4
235,ceza,j,4
236,aile,j,4
237,adet,j,4
241,şahin,j,4
242,kalem,j,4
250,nisan,j,4
251,tarih,j,4
257,haber,j,4
263,dünya,j,4
271,mucize,j,4
272,sanayi,j,4
273,mektup,j,4
275,saniye,j,4
280,reklam,j,4
287,dikkat,j,4
289,içke,f,4
294,irgi,f,4
297,ebür,f,4
305,ünte,f,4
307,möre,f,4
308,küvü,f,4
318,pirbe,f,4
319,güzeh,f,4
322,akapı,f,4
329,nekir,f,4
330,birpi,f,4
337,kumgun,f,4
341,etçime,f,4
342,zemkin,f,4
345,tuzrak,f,4
350,hücmet,f,4
352,dendek,f,4
358,zale,f,4
365,nica,f,4
366,mane,f,4
375,asez,f,4
380,mate,f,4
385,makek,f,4
386,akter,f,4
388,kuyef,f,4
389,kimık,f,4
399,hadir,f,4
401,betaş,f,4
408,magina,f,4
414,sakate,f,4
418,kalkeş,f,4
421,hiyake,f,4
423,avalün,f,4
424,tevaha,f,4
